lag_horas,corr_sol_btc_lag,corr_sol_eth_lag
0,0.7286011184616719,0.740179876137267
1,-0.022241803025463917,-0.02338354718582902
2,-0.009307660666776586,-0.012597338453153813
3,-0.011662702832151782,-0.007823097054870493
4,0.003141591422986484,0.008159632229628875
5,0.0010371555292559423,0.0007435600604627964
6,-0.001217203512049377,-0.00027689999478378274
7,-0.011790063094111784,-0.014729427187973963
8,0.012423578403868226,0.012598544976488983
9,-0.0055079406945746645,-0.012065151995778107
10,0.007312145903555804,0.010540293949546925
11,-0.0019059563803984145,0.0025918942427473365
12,-0.00045374282659567817,-0.003782380159910723
13,0.007601166777708328,0.006821065380375771
14,-0.008200320124307625,-0.008891365831726152
15,0.0029562580017368557,0.003981519832175181
16,-0.0012859138255318957,-0.0054634473489291145
17,0.003760294954561018,0.0040007456680564496
18,-0.006027195387393541,0.0003220461259404855
19,0.003078255272574212,0.00316011964226843
20,0.0030413445719786325,0.0017306999781254687
21,0.01618615435463622,0.011044548547042198
22,-0.003720579595495573,-0.008523203797620307
23,-0.00292121563945719,-0.000606834035304571
24,-0.03173604031131295,-0.026993409945340992
